DESTINO;ORIGEN; CANTI ; FOBDOL ; FOBPES 
BEL;BOG;756;3.993,00;16.594.747,00
BEL;BOG;155;7.776,00;32.041.941,00
BEL;BOG;348;59.676,00;251.958.243,00
BLZ;BOG;0;64;271.902,00
BLZ;BOG;9;135;572.093,00
BLZ;BOG;1;104;439.097,00
BLZ;BOG;12;210;886.638,00
BLZ;BOG;514;10.563,00;44.740.422,00
BLZ;BOG;15;642;2.798.734,00
BLZ;BOG;246;12.481,00;54.412.590,00
BLZ;BOG;2;2.251,00;9.877.222,00
BLR;BOG;32.458,00;32.523,00;137.487.912,00
BLR;BOG;72.650,00;25.064,00;103.804.860,00
BLR;BOG;39.500,00;7.803,00;32.317.649,00
BLR;BOG;66.500,00;22.300,00;92.355.711,00
BLR;BOG;2.650,00;500;2.070.715,00
BLR;BOG;85.600,00;16.432,00;68.052.102,00
BLR;BOG;7.950,00;2.763,00;11.444.841,00
BLR;BOG;10.000,00;1.900,00;7.868.717,00
BLR;BOG;1.120,00;3.464,00;15.195.390,00
BLR;BOG;104;274;1.201.944,00
BLR;BOG;12.850,00;4.495,00;18.617.798,00
BLR;BOG;1.750,00;332;1.377.025,00
BLR;BOG;6.400,00;1.212,00;5.019.413,00
BLR;BOG;1.600,00;598;2.478.231,00
BLR;BOG;400;51;207.914,00
BLR;BOG;12.700,00;1.612,00;6.549.712,00
BLR;BOG;11.225,00;3.632,00;15.438.983,00
BLR;BOG;7.850,00;1.012,00;4.304.743,00
BLR;BOG;25.350,00;2.892,00;12.290.798,00
BLR;BOG;12.000,00;1.632,00;6.877.199,00
BLR;BOG;500;0;211
BLR;BOG;246;446;1.882.739,00
BLR;BOG;2;27;114.821,00
BOL;BOG;164;646;2.730.467,00
BOL;BOG;683;2.658,00;11.223.159,00
BOL;BOG;160;1.248,00;5.269.168,00
BOL;BOG;250;1.987,00;8.391.403,00
BOL;BOG;860;2.944,00;12.430.677,00
BOL;BOG;180;675;2.849.910,00
BOL;BOG;500;1.854,00;7.831.174,00
BOL;BOG;180;708;2.990.506,00
BOL;BOG;253;962;4.064.943,00
BOL;BOG;340;2.556,00;10.791.662,00
BOL;BOG;180;1.288,00;5.441.429,00
BOL;BOG;700;4.515,00;19.062.736,00
BOL;BOG;160;662;2.796.712,00
BOL;BOG;250;1.677,00;7.082.555,00
BOL;BOG;180;1.432,00;6.049.410,00
BOL;BOG;643;15.367,00;65.295.785,00
BOL;BOG;170;5.910,00;25.112.864,00
BOL;BOG;50;371;1.576.379,00
BOL;BOG;172;26.660,00;109.855.729,00
BOL;BOG;89;408;1.682.407,00
BOL;BOG;99;734;3.025.565,00
BOL;BOG;32;248;1.024.550,00
BOL;BOG;10;64;264.955,00
BOL;BOG;102;372;1.536.908,00
BOL;BOG;198;756;3.118.732,00
BOL;BOG;66;151;622.790,00
BOL;BOG;13;29;120.528,00
BOL;BOG;132;552;2.278.290,00
BOL;BOG;10;97;402.172,00
BOL;BOG;45;283;1.170.050,00
BOL;BOG;15;48;200.880,00
BOL;BOG;250;1.168,00;4.814.037,00
BOL;BOG;160;769;3.247.631,00
BOL;BOG;1.666,00;4.560,00;19.254.208,00
BOL;BOG;204;530;2.239.396,00
BOL;BOG;19;501;2.118.391,00
BOL;BOG;18;358;1.514.632,00
BOL;BOG;149;901;3.821.111,00
BOL;BOG;12;65;278.238,00
BOL;BOG;38;178;756.549,00
BOL;BOG;65;419;1.779.893,00
BOL;BOG;39;138;586.826,00
BOL;BOG;32;139;591.404,00
BOL;BOG;90;371;1.574.096,00
BOL;BOG;239;752;3.189.225,00
BOL;BOG;33;113;481.914,00
BOL;BOG;245;703;2.983.260,00
BOL;BOG;101;577;2.447.130,00
BOL;BOG;319;789;3.347.123,00
BOL;BOG;48;181;769.775,00
BOL;BOG;266;878;3.724.592,00
BOL;BOG;11;102;435.499,00
BOL;BOG;74;302;1.282.930,00
BOL;BOG;59;594;2.518.385,00
BOL;BOG;4;19;83.251,00
BOL;BOG;38;163;691.017,00
BOL;BOG;20;36;155.989,00
BOL;BOG;85.400,00;12.943,00;53.333.184,00
BOL;BOG;58.404,00;10.426,00;42.963.397,00
BOL;BOG;319;713;3.069.074,00
BOL;BOG;1.535,00;3.484,00;15.022.027,00
BOL;BOG;149;266;1.152.376,00
BOL;BOG;298;620;2.718.571,00
BOL;BOG;902;2.444,00;10.301.428,00
BOL;BOG;650;1.217,00;5.174.076,00
BOL;BOG;28;63;272.467,00
BOL;BOG;110;212;911.534,00
BOL;BOG;164;309;1.335.168,00
BOL;BOG;13;24;103.495,00
BOL;BOG;175;402;1.732.179,00
BOL;BOG;4;11;47.389,00
BOL;BOG;180;2.438,00;10.536.193,00
BOL;BOG;110;1.197,00;5.049.613,00
BOL;BOG;397;37.375,00;163.274.173,00
BOL;BOG;1.049,00;142.869,00;580.010.828,00
BOL;BOG;135;15.572,00;64.167.860,00
BOL;BOG;1.729,00;90.465,00;368.271.430,00
BOL;BOG;280;22.356,00;92.121.446,00
BOL;BOG;100;3.903,00;15.821.825,00
BOL;BOG;43;2.191,00;8.882.801,00
BOL;BOG;852;20.665,00;83.896.974,00
BOL;BOG;146;5.342,00;22.677.212,00
BOL;BOG;70;3.407,00;14.449.278,00
BOL;BOG;77;20.232,00;82.016.483,00
BOL;BOG;19;1.103,00;4.692.776,00
BOL;BOG;2.132,00;48.127,00;203.198.045,00
BOL;BOG;2.816,00;99.775,00;419.625.840,00
BOL;BOG;1.648,00;79.751,00;334.247.952,00
BOL;BOG;2.209,00;83.294,00;350.297.249,00
BOL;BOG;969;6.528,00;27.619.452,00
BOL;BOG;220;27.000,00;117.703.799,00
BOL;BOG;77;175;767.665,00
BOL;BOG;4;8;34.512,00
BOL;BOG;95;494;2.006.408,00
BOL;BOG;99;634;2.579.484,00
BOL;BOG;285;1.381,00;5.601.566,00
BOL;BOG;5;14;58.374,00
BOL;BOG;270;1.105,00;4.547.109,00
BOL;BOG;98;425;1.724.104,00
BOL;BOG;2.177,00;5.506,00;22.321.016,00
BOL;BOG;363;1.137,00;4.609.287,00
BOL;BOG;176;706;2.864.184,00
BOL;BOG;64;238;968.605,00
BOL;BOG;1.867,00;4.380,00;17.779.018,00
BOL;BOG;504;2.108,00;8.546.744,00
BOL;BOG;96;240;975.790,00
BOL;BOG;28;267;1.085.110,00
BOL;BOG;16;71;295.984,00
BOL;BOG;244;1.621,00;6.571.793,00
BOL;BOG;8;47;192.634,00
BOL;BOG;126;253;1.029.209,00
BOL;BOG;120;1.000,00;4.359.400,00
BOL;BOG;98;1.752,00;7.685.428,00
BOL;BOG;4;20;91.417,00
BOL;BOG;13;89;392.342,00
BOL;BOG;26;124;547.455,00
BOL;BOG;15;104;457.967,00
BOL;BOG;300;2.267,00;9.667.251,00
BOL;BOG;289;1.171,00;5.064.944,00
BOL;BOG;57;292;1.282.703,00
BOL;BOG;92;336;1.427.300,00
BOL;BOG;41;177;776.965,00
BOL;BOG;812;1.957,00;8.575.352,00
BOL;BOG;236;1.152,00;5.046.474,00
BOL;BOG;45;133;579.867,00
BOL;BOG;148;483;2.030.809,00
BOL;BOG;84;483;2.048.744,00
BOL;BOG;825;1.902,00;8.277.937,00
BOL;BOG;532;2.168,00;9.474.631,00
BOL;BOG;107;432;1.860.013,00
BOL;BOG;17;82;344.987,00
BOL;BOG;314;2.317,00;10.144.503,00
BOL;BOG;7;31;130.583,00
BOL;BOG;178;1.433,00;6.169.136,00
BOL;BOG;33;196;859.873,00
BOL;BOG;8;24;109.140,00
BOL;BOG;218;1.248,00;5.260.852,00
BOL;BOG;46;210;920.802,00
BOL;BOG;29;62;274.780,00
